trackID	mediumID	position	titel	dauer
1	1	1	Ein Hilferuf	356947
2	1	2	Ein Papagei spricht Latein	410773
3	1	3	Schneewittchen ist verschwunden	328467
4	1	4	Ein unverhoffter Besuch	476640
5	1	5	Blackbeard, der Pirat	459586
6	1	6	Die rätselhafte Botschaft	427520
7	1	7	Von Steinen und Gebeinen	301520
8	1	8	Blackbeard hat das letzte Wort	382707
9	2	1	Die Seemannstruhe	262387
10	2	2	Das Wrack der "Argyll Queen"	444000
11	2	3	Angriff!	356386
12	2	4	Die Goldgräberstadt	285987
13	2	5	Beistand aus der Geisterwelt	341680
14	2	6	Und wieder Java-Jim!	361267
15	2	7	Der letzte Fingerzeig	399413
16	2	8	Der Schatz der "Argyll Queen"	287813
17	3	1	Es spukt bei Mr. Prentice	267507
18	3	2	Die Paste mit der Zauberkraft	305880
19	3	3	Verräterische Flecken	430240
20	3	4	Licht in der Kirche	354786
21	3	5	Diagnose: Vergiftung	458894
22	3	6	Es knallt!	204306
23	3	7	Es brennt!	404320
24	3	8	Ein perfektes Alibi	322507
25	4	1	Haltet den Dieb	373600
26	4	2	Peter beweist seinen Mut	328787
27	4	3	Andy wundert sich	325413
28	4	4	Wer sucht eine schwarze Katze?	301400
29	4	5	Der Mann mit der Tätowierung	301053
30	4	6	In der Falle	389360
31	4	7	Justus kombiniert	300414
32	4	8	Der Räuber wird entlarvt	342933
33	5	1	Ein Anruf für die drei ???	314733
34	5	2	Zu Hilfe!	394720
35	5	3	Dreipunkt taucht auf	322000
36	5	4	Ein Herr mit schwarzem Schnurrbart	449294
37	5	5	Bob hat eine Erleuchtung	320600
38	5	6	Mädchenstimme am Telefon	339693
39	5	7	Des Rätsels Lösung	406173
40	5	8	Gebt mir das feurige Auge	413774
41	6	1	Justus kauft einen Koffer	271253
42	6	2	Ein sonderbarer Besuch	471400
43	6	3	Eine geheimnisvolle Botschaft	340040
44	6	4	Abschied von Sokrates	279374
45	6	5	Warnung vom Polizeichef	310400
46	6	6	Die drei ??? entdecken Spuren	354173
47	6	7	Die Suchaktion beginnt	397160
48	6	8	Wo ist das Geld?	328840
49	7	1	Das Ungeheuer aus dem Meer	397493
50	7	2	Ein merkwürdiges Haus	381307
51	7	3	Erste Spuren	308093
52	7	4	Gespenstische Botschaft am Telefon	266814
53	7	5	Alte Chronik – neue Spur	296386
54	7	6	Ein Witzbold und sein Werk	446054
55	7	7	Die Drachenjagd beginnt	370800
56	7	8	Das Geheimnis des alten Tunnels	254826
57	8	1	Ein Schrei in der Nacht	334267
58	8	2	Die Geheimniskammer	473546
59	8	3	Der Geist kehrt wieder	445400
60	8	4	Ein Pferd geht durch	346867
61	8	5	Wohin mit den Geisterperlen?	260840
62	8	6	Das Geheimnis der Geisterperlen	599853
63	8	7	Justus findet eine Spur	349560
64	8	8	Die rätselhafte 39	393387
65	9	1	Eine schwarze Gestalt	329240
66	9	2	Kundschaft auf dem Schrottplatz	376293
67	9	3	Der Hinkende	400320
68	9	4	Gefangen!	290360
69	9	5	Ein schwarzes Loch	383040
70	9	6	Justus kombiniert	617080
71	9	7	Zick oder Zack?	194254
72	9	8	Justus bringt es an den Tag	242093
73	10	1	Eine Mumie flüstert	349240
74	10	2	Der Fluch des Ra-Orkon	307307
75	10	3	Überall lauert Gefahr	385800
76	10	4	Eine gelungene Überraschung	472680
77	10	5	Gefangen	338253
78	10	6	Auf der Flucht	310653
79	10	7	Viel zu viele Fragezeichen	379400
80	10	8	Erstaunliches kommt an den Tag	500360
81	11	1	Man spricht vom Gespensterschloss	305493
82	11	2	Echo aus dem Jenseits	361400
83	11	3	In der Falle!	404214
84	11	4	Der Mann mit der Narbe	378253
85	11	5	Die Warnung der Zigeunerin	327387
86	11	6	Das blaue Phantom	447293
87	11	7	Im Verlies	324147
88	11	8	Interview mit einem Gespenst	346720
89	12	1	Der Schrei aus dem Wecker	340360
90	12	2	Das Zimmer der Uhren	439027
91	12	3	Wer ist Rex?	389306
92	12	4	Rätsel über Rätsel	611974
93	12	5	Der arme Gerald	284626
94	12	6	Fragen ohne Antwort	194760
95	12	7	Der Gegner hat die Oberhand	253454
96	12	8	Überraschende Enthüllungen	222840
97	13	1	Es lacht in der Nacht	318947
98	13	2	Überfall!	319173
99	13	3	Eine aufregende Mitteilung	328787
100	13	4	Nächtliche Gestalten	346360
101	13	5	Gefangen!	308160
102	13	6	Justus geht ein Licht auf	357160
103	13	7	Die Steilwand hinab	367693
104	13	8	Der Schatz der Chumash	294040
105	14	1	Ein seltsamer Empfang	349613
106	14	2	Wer schleicht durch die Nacht?	366400
107	14	3	Der Monsterberg	439734
108	14	4	Das wilde Tier aus dem Wald	179480
109	14	5	Spur von nackten Sohlen	406346
110	14	6	Justus blickt nicht mehr durch	249000
111	14	7	Der Berg brennt!	314894
112	14	8	Die Doppelgängerin	244720
113	15	1	Ein Fall im Löwenrevier	309587
114	15	2	Mit knapper Not entkommen	301933
115	15	3	Immer Ärger mit George	256280
116	15	4	Ein sturer Kunde mit Sonderwünschen	316787
117	15	5	Wirbel um einen Gorilla	334880
118	15	6	Die verschlüsselte Botschaft	227520
119	15	7	Eisenstäbe	282000
120	15	8	Des Rätsels Lösung	356266
121	16	1	Haltet den Dieb!	387133
122	16	2	Chiavos Fluch	252827
123	16	3	Justus wittert ein Geheimnis	276040
124	16	4	Spuk im Spiegel	352573
125	16	5	Ein rätselhafter Brief	302107
126	16	6	Verräterisches Glockenspiel	357267
127	16	7	Wettlauf gegen die Uhr	276613
128	16	8	Der Spiegel gibt sein Geheimnis preis	346787
129	17	1	Dingo Townes Aufforderung zum Wettstreit	436107
130	17	2	Wo der Windhund haust	305226
131	17	3	Ein gefährlicher Bubenstreich	262547
132	17	4	Peter behält einen klaren Kopf	255293
133	17	5	Der Alte aus dem Busch	363027
134	17	6	Raus, wenn du kannst!	359640
135	17	7	Noch ein Rätsel gelöst	304627
136	17	8	Justus stellt eine Falle	238373
137	18	1	Unerwarteter Empfang	367720
138	18	2	Das Gespenst tritt auf	326653
139	18	3	Endlich auf der Geisterinsel	187374
140	18	4	Ein Totenschädel spricht	423013
141	18	5	Der erste Fund	421840
142	18	6	Die Katastrophe	278640
143	18	7	Eine aufregende Entdeckung	335600
144	18	8	Rettung in letzter Minute	265653
145	19	1	Im Tal der Wehklagen	264773
146	19	2	El Diablos Flucht	473080
147	19	3	El Diablos Höhle	320467
148	19	4	Auf gefährlichem Weg	277093
149	19	5	Jetzt wird ermittelt	212560
150	19	6	Justus enthüllt einen Plan	355267
151	19	7	Das blanke schwarze Wesen	478853
152	19	8	Maske ab für El Diablo	294480
153	20	1	»Der Potter« tritt auf – und wieder ab	460560
154	20	2	Zu viele Neue auf der Szene	354733
155	20	3	Morton wird eingeschaltet	237680
156	20	4	Das Haus auf dem Hügel	346320
157	20	5	Es spukt schon wieder	331814
158	20	6	Fischt der feine Angler im Trüben?	265253
159	20	7	Die Falle schnappt zu	311160
160	20	8	Man wird handelseinig	509387
161	21	1	Puppe entflogen	304827
162	21	2	Die Falle schnappt zu	246146
163	21	3	Der Dämon greift an!	358200
164	21	4	Der schwarze Koffer	360854
165	21	5	Dem Schurken auf der Spur	444533
166	21	6	Der tanzende Teufel schlägt zu!	462507
167	21	7	Das Gesicht am Fenster	195213
168	21	8	Maske ab für den Teufel!	175533
169	22	1	Aufregung im Museum	252413
170	22	2	Spuk am Fenster	310334
171	22	3	Von Gnomen und Zwergen	380786
172	22	4	Ein unerwarteter Besuch	364814
173	22	5	Ein finsterer Plan wird enthüllt	307560
174	22	6	Bob sucht seine Freunde	306853
175	22	7	Die Spur verliert sich	363587
176	22	8	Überraschungsangriff	349613
177	23	1	Es geht hart auf hart	307133
178	23	2	Feuer!	358627
179	23	3	Die Suche beginnt	284187
180	23	4	Die alte Landkarte	325613
181	23	5	Der Sheriff waltet seines Amtes	312027
182	23	6	Entdeckung in der Brandruine	326466
183	23	7	Das Versteck	331907
184	23	8	Das Schwert des Cortez	319720
185	24	1	Um Haaresbreite	371640
186	24	2	Die silberne Spinne	297467
187	24	3	Lauter Verdächtige	200186
188	24	4	Finstere Pläne	395374
189	24	5	Ein unverhoffter Fund	284906
190	24	6	Bobs Gedächtnislücke	485894
191	24	7	In die Kanäle	298053
192	24	8	Die Magnus-Glocke	204373
193	25	1	Das Mädchen auf der Schimmelstute	329573
194	25	2	Die singende Schlange	355680
195	25	3	Das Haus am Torrente Canyon	404160
196	25	4	Ein Opfer der Schlange	490294
197	25	5	Bentleys Geheimakten	290160
198	25	6	Die Diamanten der Kaiserin	234546
199	25	7	Dr. Shaitans Geister	316467
200	25	8	Die Schlange bringt neues Unheil	361547
201	26	1	Die Einladung	317267
202	26	2	Schüsse im Dunkeln	378653
203	26	3	Die Todesfalle!	437760
204	26	4	Da schleicht einer durch die Nacht	176747
205	26	5	Glimmer oder Gold?	220666
206	26	6	Mundraub	264480
207	26	7	Der Wachhund, der nicht bellte	419067
208	26	8	Wo ist die Beute?	413440
209	27	1	Feuer!	404307
210	27	2	Ein Unglück kommt selten allein	390160
211	27	3	Ist Hexerei im Spiel?	302200
212	27	4	Der magische Kreis	458813
213	27	5	Endstation Kofferraum	422747
214	27	6	Dornröschen	319640
215	27	7	Eine Verschwörung	364533
216	27	8	Party mit Überraschungseffekt	446493
217	28	1	Menschenraub!	400267
218	28	2	Den Schurken auf der Spur	263360
219	28	3	Entwischt!	413973
220	28	4	Freunde oder Feinde?	363187
221	28	5	Djangas Stätte	250426
222	28	6	Hier endet die Spur	467134
223	28	7	Das Ebenbild	429760
224	28	8	Der Gegner steht vor einem Problem	287680
225	29	1	Titelsong	189893
226	29	2	Der heimliche Hehler	184507
227	29	3	Tatort Zirkus	166400
228	29	4	Geisterinsel	116027
229	29	5	Musikpiraten	202573
230	29	6	Schüsse aus dem Dunkel	201093
231	29	7	Drei ??? Rap	334574
232	29	8	Der riskante Ritt	245933
233	29	9	Der lachende Schatten	135467
234	29	10	Stimmen aus dem Nichts	339226
235	29	11	Die verschwundene Seglerin	202334
236	29	12	Die bedrohte Ranch	170600
237	29	13	Diamantenschmuggel	207266
238	29	14	Titelsong	284774
239	30	1	Rätselhafter Schwund	288453
240	30	2	Ein Schnüffler	289894
241	30	3	Justus weiß eine Erklärung	385266
242	30	4	Peter hat es erfasst	287640
243	30	5	Der Haifänger	297320
244	30	6	Das Ungetüm aus dem Meer	380814
245	30	7	Das Riff der Haie und sein Geheimnis	365506
246	30	8	Qualm und List	227400
247	31	1	Ein Blinder läuft davon	413907
248	31	2	Ein neuer Fall für die drei ???	386626
249	31	3	Mr. Bonestells Bericht	404814
250	31	4	Neue Fährten	277720
251	31	5	Die Terroristen	333693
252	31	6	Die Warnung	286080
253	31	7	Ernie macht Geschäfte	456067
254	31	8	Ein Alptraum wird wahr!	425666
255	32	1	Der Ameisenmensch	368307
256	32	2	Die verrückte Dame	249426
257	32	3	Ein schlimmer Schock	388720
258	32	4	Der rätselhafte Späher	314814
259	32	5	Die Vogelscheuche schlägt zu!	441453
260	32	6	Eingesperrt!	298507
261	32	7	Justus zieht seine Schlüsse	336080
262	32	8	Die Überraschung zum Schluss	255346
263	33	1	Ein reizbarer Herr	254627
264	33	2	Die Festung	300693
265	33	3	Ausgang verboten	295107
266	33	4	Invasion	459106
267	33	5	Ein unschuldiges Opfer	252680
268	33	6	Es darf spioniert werden	326614
269	33	7	Justus hat eine Erleuchtung	335346
270	33	8	Geht die Welt unter?	432894
271	34	1	Banditen, Briganten und Seeräuber!	409747
272	34	2	Betrug!	271426
273	34	3	Piratenüberfall!	357214
274	34	4	Nächtliche Pirsch	264720
275	34	5	Prallvolle Säcke	320160
276	34	6	Der Rote Pirat schlägt wieder zu	406240
277	34	7	Gefangen	340760
278	34	8	Nun wendet sich das Blatt	269946
279	35	1	Der Unbekannte	312493
280	35	2	Böses Blut!	436160
281	35	3	Besuch bei einem Toten	381147
282	35	4	Es tut sich was in Citrus Grove	485547
283	35	5	Die Fußspur mit den vier Zehen	392160
284	35	6	Noch ein Diebstahl	456426
285	35	7	Fragen über Fragen	351320
286	35	8	Tatmotiv: eine Million Dollar	440680
287	36	1	Die Lebensretter	374880
288	36	2	"Ocean World" – Die Welt des Ozeans	345627
289	36	3	Jetzt aber los	322853
290	36	4	Der Mann mit dem eigenartigen rechten Auge	402493
291	36	5	Die beiden langen Stangen	380200
292	36	6	Die verlorene Fracht	363080
293	36	7	Flukeys Lied	335000
294	36	8	Was in der Kassette war	372054
295	37	1	Der kleine Ausreißer	548107
296	37	2	Es kommt ganz schlimm!	436026
297	37	3	Böse Zungen	298374
298	37	4	Ein Dieb geht baden	333093
299	37	5	Grauen unter Wasser!	420520
300	37	6	Antworten werfen neue Fragen auf	368160
301	37	7	Ein verborgener Schatz!	359413
302	37	8	Justus entwickelt eine Theorie	529334
303	38	1	Eine wandelnde Katastrophe	306440
304	38	2	Das Abenteuer beginnt	329200
305	38	3	Feuer als Ablenkungsmanöver	350520
306	38	4	Hier ist doch etwas faul	283627
307	38	5	Ein tollkühner Schachzug	278973
308	38	6	Bob in der Klemme	470853
309	38	7	Top Secret	237280
310	38	8	Kein Ausweg für den Täter	295160
311	39	1	Der Mann mit dem Zwinker-Tick	439920
312	39	2	Die Frau mit dem Vogel-Tick	348520
313	39	3	Ein Mörder raubt Vögel	380400
314	39	4	Wo ist das Bindeglied?	262320
315	39	5	Vergiftet?	372587
316	39	6	Bewaffnete Aufsicht	345080
317	39	7	Wer mit wem?	388693
318	39	8	Hände hoch!	336440
319	40	1	Zerbrochene Scheiben	335080
320	40	2	Justus entdeckt ein Schema	309187
321	40	3	Anklage gegen die drei ???	271213
322	40	4	Ein gestohlener Adler	495787
323	40	5	Der Täter, der nicht auffällt	320320
324	40	6	Die nächste Telefonlawine rollt	363093
325	40	7	Wer ist der Täter?	307600
326	40	8	Ein Gewalttäter wird geschnappt	419080
327	41	1	Ein Hilferuf	396627
328	41	2	Der Neffe und sein Anwalt	470426
329	41	3	Gesucht: Ein verschollener Indianerstamm	429627
330	41	4	Peter findet den "Tanzenden Saurier"	321173
331	41	5	Auf nach Comina!	341800
332	41	6	Entdeckungen in der Höhle	442774
333	41	7	Pamir, der Stammeshäuptling	444493
334	41	8	Kommt das Erdbeben?	367600
335	42	1	Können Totenköpfe weinen?	322667
336	42	2	Einbruch in die Villa Markels!	406506
337	42	3	Ein Mann mit rotem Schnauzbart	402414
338	42	4	Panne beim Kunsthandel	291346
339	42	5	Ein rätselhaftes Testament	393534
340	42	6	Drei Arten, einen Sarg zu betrachten	334560
341	42	7	Scherben bringen es an den Tag	318746
342	42	8	Die allerletzte Hürde	399454
343	43	1	Rätselhafter Fund	271987
344	43	2	Ein Werwolf in Hollywood	369333
345	43	3	Eine neue Spur	427267
346	43	4	Draculas Rückkehr	454293
347	43	5	Eine Dame verschwindet	305800
348	43	6	Überfall!	347427
349	43	7	Gefährlicher Absturz	379866
350	43	8	Flucht ins Ungewisse	494947
351	44	1	Justus' geheime Vergangenheit	377787
352	44	2	Überraschung in Studio Neun	385826
353	44	3	Fahndung hinter den Kulissen	317640
354	44	4	Quiz Nummer eins	433160
355	44	5	Beschattungsmanöver in Hollywood	368654
